 ,coordinate x,coordinate y,Filopodia length pixels,Edge length pixels
1,13,146,10.0711,137.1543
2,22,135,6.8284,498.86
3,24,76,23.3848,177.196
4,26,226,4.8284,261.2082
5,31,151,5.4142,0
6,43,116,2.4142,0
7,47,94,6.6569,0
8,50,56,7.6569,0
9,55,222,6.4142,0
10,55,233,8.8284,0
11,57,102,12.8995,0
12,62,83,22.7279,0
13,71,113,7.2426,0
14,80,32,5.2426,0
15,80,76,2.4142,0
16,80,100,10.0711,0
17,81,91,15.4853,0
18,84,104,4.4142,0
19,85,111,6.2426,0
20,92,217,5.4142,0
21,94,4,4.4142,0
22,95,210,4.4142,0
23,105,192,2.4142,0
24,106,15,15.4853,0
25,107,178,23.9706,0
26,121,191,5.2426,0
27,122,211,2,0
28,124,20,6.2426,0
29,124,171,5.4142,0
30,125,154,3.4142,0
31,125,186,6.4142,0
32,128,200,23.3848,0
33,129,56,11.8284,0
34,132,30,11.4853,0
35,135,147,8.0711,0
36,140,65,18.4853,0
37,142,71,4.8284,0
38,144,41,3.4142,0
39,158,196,12.8995,0
40,150,209,4.2426,0
41,155,207,2.4142,0
42,151,137,7.6569,0
43,152,58,22.0711,0
44,179,51,8.6569,0
45,177,56,6.2426,0
46,159,38,4,0
47,165,191,9.2426,0
48,167,42,5.4142,0
49,174,170,3,0
50,177,84,4.2426,0
51,179,173,12.0711,0
52,185,71,6,0
53,187,3,9.2426,0
54,190,151,1.4142,0
55,194,72,14.4853,0
56,218,82,6.2426,0
57,261,39,4.4142,0
58,276,45,5.2426,0
